,place_name,bedroom,area,kecamatan,city,final_price,date,final_mortage_monthly
0,termurah Ci Ditiro residence low zone,3.0,132.0,Menteng,Jakarta Pusat,5250000000.0,06/06/2023,37000000.0
2,Dijual murah dan cepat 2 bedroom kosong taman anggrek residences,2.0,50.0,Taman Anggrek,Jakarta Barat,1500000000.0,05/06/2023,10000000.0
5,"Dharmawangsa Residence, Tower 1, 4 Bedroom 350 Sqm, Best Price",4.0,350.0,Kebayoran Baru,Jakarta Selatan,17000000000.0,30/05/2023,121000000.0
9,Apartemen Taman Anggrek Residences Studio Furnish Sudah Sertifikat,1.0,26.0,Taman Anggrek,Jakarta Barat,750000000.0,05/06/2023,5000000.0
14,Apartement The Mansion Jasmine Tower Bellavista,3.0,119.0,Pademangan,Jakarta Utara,3200000000.0,30/05/2023,22000000.0
20,"Apartement Premium Di Jakarta Pusat Dengan Lokasi Yg Sangat Strategis Apartemen Holland Village Baru 3 Kamar Tidur , Best Price 3,6m Saja",3.0,175.0,Cempaka Putih,Jakarta Pusat,3650000000.0,02/06/2023,26000000.0
27,The Windsor Puri Indah 4br Tower Luxury Lantai Rendah 186m2,4.0,186.0,Puri Indah,Jakarta Barat,5000000000.0,23/05/2023,35000000.0
35,Apartemen Tokyo Riverside Pik 2 2 Kamar Tidur,2.0,57.0,Pantai Indah Kapuk,Jakarta Utara,850000000.0,23/05/2023,6000000.0
44,Dijual 1 bedroom furnish royal mediterania garden,1.0,36.0,Central Park,Jakarta Barat,875000000.0,16/05/2023,6000000.0
54,Premium Apartemen Siap Huni dilokasi terbaik di Jakarta Pusat,3.0,175.0,Cempaka Putih,Jakarta Pusat,3490000000.0,02/06/2023,25000000.0
65,Apartemen Bassura City 2BR Hoek,2.0,43.0,Cipinang Melayu,Jakarta Timur,850000000.0,05/06/2023,6000000.0
77,"Apartemen Murah FULL FURNISHED LOKASI STRATEGIS , Tipe 2 Bed, Area Kalideres Jakarta",2.0,44.0,Kalideres,Jakarta Barat,510000000.0,09/05/2023,3000000.0
90,Apartemen 2Bed siap huni,2.0,88.0,Pancoran,Jakarta Selatan,1700000000.0,08/05/2023,12000000.0
104,Murah Apartemen Bukit Golf Hill Terraces Pondok Indah hanya 4M,3.0,200.0,Pondok Indah,Jakarta Selatan,4000000000.0,10/05/2023,28000000.0
119,Apartement The Pakubuwono Spring 2 Br Furnished NEGOTIABLE!,2.0,170.0,Pakubuwono,Jakarta Selatan,7500000000.0,06/06/2023,53000000.0
135,The Newton 1 Ciputra world kosong,1.0,42.0,Setiabudi,Jakarta Selatan,1800000000.0,08/05/2023,12000000.0
152,Luxury Apartment with City View at Casagrande Residences,1.0,54.0,Cassablanca,Jakarta Selatan,1400000000.0,11/05/2023,10000000.0
170,lavenue 1kamar fully furnish bisa lgsg pakai,1.0,60.0,Pancoran,Jakarta Selatan,1550000000.0,08/05/2023,11000000.0
189,DIJUAL CEPAT APARTMENT MINIMALIS FULLY FURNISHED BAGUS TYPE 2 BED LOKASI DIPUSAT KOTA KEMAYORAN DEKAT PINTU TOL ANCOL,2.0,58.0,Kemayoran,Jakarta Pusat,950000000.0,31/05/2023,6000000.0
210,Apartemen Luas di Izzara Cilandak Jakarta Selatan,3.0,176.0,Cilandak,Jakarta Selatan,6000000000.0,17/05/2023,42000000.0
212,"Apartement Lelang Bri, Setia Budi, Jakarta Selatan",2.0,189.0,Setiabudi,Jakarta Selatan,3000000000.0,30/05/2023,21000000.0
215,"Di cepat, studio tower G, lt 3 furnished",1.0,23.0,Cengkareng,Jakarta Barat,190000000.0,12/05/2023,1000000.0
219,"Apartement Lelang Bri, Kebayoran Baru, Jakarta Selatan",2.0,82.0,Kebayoran Baru,Jakarta Selatan,1600000000.0,31/05/2023,11000000.0
224,APARTEMEN HOLLAND VILLAGE JAKARTA PUSAT,3.0,175.0,Cempaka Putih,Jakarta Pusat,3150000000.0,02/06/2023,22000000.0
230,APARTEMENT KEMANG VILLAGE ~ LUAS 450 M2 ~ TYPE PENTHOUSE ~ TOWER BLOOMINGTON ~ BEST PRICE!,4.0,450.0,Kemang,Jakarta Selatan,14000000000.0,25/05/2023,100000000.0
237,JUAL MURAH Lexington Residence 2BR Private Lift City View,2.0,88.0,Pondok Indah,Jakarta Selatan,2100000000.0,24/05/2023,15000000.0
245,"Presidential Tower lantai 50an TERMURAH (158sqm, 3 kamar) St Moritz Puri indah, Jakarta Barat",3.0,158.0,Puri Indah,Jakarta Barat,3600000000.0,08/05/2023,25000000.0
254,Dijual Termurah Apartemen Belmont Residence 2 Bedroom Full Furnish Hoek,2.0,41.0,Meruya,Jakarta Barat,580000000.0,27/05/2023,4000000.0
264,Termurah Apartemen Belmont Residence Studio Full Furnish Hoek,1.0,21.0,Meruya,Jakarta Barat,270000000.0,22/05/2023,1000000.0
275,Green Bay Pluit Kondominium 1 Bedroom,1.0,44.0,Pluit,Jakarta Utara,650000000.0,31/05/2023,4000000.0
287,Apartemen Lexington Residences 3br Jakarta Selatan Bagus,3.0,123.0,Pondok Indah,Jakarta Selatan,3000000000.0,25/05/2023,21000000.0
300,TERMURAH APARTEMEN KEMANG MANSION TIPE STUDIO ATAU 1BR,1.0,60.0,Kemang,Jakarta Selatan,1350000000.0,30/05/2023,9000000.0
314,Nice Apartement Residence Lantai Tengah View City 2 BR Full Furnished Bagus Nego Sampai Jadi,2.0,64.0,Kuningan,Jakarta Selatan,2220000000.0,21/05/2023,15000000.0
329,Apartement Puri Orchard 1 BR Bagus,1.0,36.0,Cengkareng,Jakarta Barat,500000000.0,15/05/2023,3000000.0
345,APARTEMEN SENAYAN CITY 3BR SIZE 207SQM,3.0,207.0,Senayan,Jakarta Pusat,6300000000.0,17/05/2023,45000000.0
362,APARTEMEN CASA GRANDE 2BR SIZE 80 SQM,2.0,80.0,Cassablanca,Jakarta Selatan,2100000000.0,05/06/2023,15000000.0
380,Apartment 3BR+1 Premium Superblok di Jakarta Pusat,3.0,122.0,Cempaka Putih,Jakarta Pusat,2280000000.0,02/06/2023,16000000.0
399,Apartemen The Windsor at Puri Indah. Private Lift. Furnish.,3.0,186.0,Puri Indah,Jakarta Barat,5300000000.0,31/05/2023,37000000.0
419,Jual Rugi Apartemen Puri Park Residence 3 Bedroom Puri Indah Murah Mewah Jakarta Barat Tidak Banjir 145m2,3.0,145.0,Puri Indah,Jakarta Barat,2800000000.0,16/05/2023,20000000.0
420,Apartement Bellagio Residence 3 BR / Fully Furnished,3.0,207.0,Mega Kuningan,Jakarta Selatan,4200000000.0,11/05/2023,30000000.0
422,Apartemen Murah Jakarta Selatan Nifarro Pasar Minggu Siap Huni,2.0,51.0,Pasar Minggu,Jakarta Selatan,975000000.0,31/05/2023,6000000.0
425,Harga Murah Dibawah Pasar Apartemen 57 Promenade Thamrin,3.0,182.0,Thamrin,Jakarta Pusat,10000000000.0,05/06/2023,71000000.0
429,"Apartemen Full Furnished di Belleza Permata Hijau, Jakarta Selatan",3.0,140.0,Permata Hijau,Jakarta Selatan,2900000000.0,26/05/2023,20000000.0
434,"Apartement Strategis Dekat Akses Tol di Ulujami Raya, Pesanggrahan, Jakarta Selatan",1.0,24.0,Pesanggrahan,Jakarta Selatan,650000000.0,25/05/2023,4000000.0
440,Apartement Mitra Oasis Senen Raya Jakarta Pusat,3.0,97.0,Senen,Jakarta Pusat,1300000000.0,02/06/2023,9000000.0
447,Apartemen Casa Grande Residence Phase 2 2+1br Jakarta Selatan,2.0,88.0,Cassablanca,Jakarta Selatan,3300000000.0,25/05/2023,23000000.0
464,apartemen Studio full furnish dekat mall & stasiun,2.0,36.0,Sudirman,Jakarta Selatan,315000000.0,29/05/2023,2000000.0
474,Dijual Termurah Apartemen Gold Coast Full Furnish,1.0,29.0,Pantai Indah Kapuk,Jakarta Utara,850000000.0,19/05/2023,6000000.0
485,Dijual Termurah Apartemen Kedoya Elok 2 Br Full Furnish,2.0,115.0,Kedoya Selatan,Jakarta Barat,2000000000.0,04/06/2023,14000000.0
497,Apartement Pesona Bahari 2 BR Bagus,2.0,101.0,Sawah Besar,Jakarta Pusat,1800000000.0,12/05/2023,12000000.0
510,Dijual Termurah Apartemen Belmont Residence 2 Br Full Furnish,2.0,41.0,Meruya,Jakarta Barat,510000000.0,11/05/2023,3000000.0
524,Dijual Termurah Apartemen Belmont Residence 1 Br Full Furnish,1.0,32.0,Meruya,Jakarta Barat,360000000.0,05/06/2023,2000000.0
539,Jual Turun Harga Murah Apt Mewah Menara Kondominium Kelapa Gading,3.0,143.0,Kelapa Gading,Jakarta Utara,1600000000.0,05/06/2023,11000000.0
