,place_name,address,bedroom,area,price,mortage,category,date_posted
0,Dijual Best Deal Apartemen Permata Hijau Suites 1br At Jaksel,"Permata Hijau, Jakarta Selatan",1,40 m²,"Rp 1,05 Miliar",Cicilan : 7 Jutaan per bulan,apartemen,"Liz Diperbarui sejak 12 Juni, 2023"
1,Dijual Best Deal Apartemen Permata Hijau Suites 1br At Jaksel,"Permata Hijau, Jakarta Selatan",1,40 m²,"Rp 1,05 Miliar",Cicilan : 7 Jutaan per bulan,apartemen,"Keysia Diperbarui sejak 12 Juni, 2023"
2,Dijual cepat apt 1 kamar South Quarter kondisi bagu Bagus,"TB Simatupang, Jakarta Selatan",1,35 m²,"Rp 2,5 Miliar",Cicilan : 17 Jutaan per bulan,apartemen,"Cinthiana Veronika VeronikaDiperbarui sejak 12 Juni, 2023"
3,Apartemen Kedoya Elok Tower South 2br Full Furnished Jakarta Barat,"Kedoya, Jakarta Barat",2,114 m²,"Rp 2,3 Miliar",Cicilan : 16 Jutaan per bulan,apartemen,"Hardi Pranata PranataDiperbarui sejak 12 Juni, 2023"
4,Jual Apartemen Taman Anggrek Residences 3+1 Bagus Furnished,"Taman Anggrek, Jakarta Barat",3,135 m²,"Rp 4,5 Miliar",Cicilan : 32 Jutaan per bulan,apartemen,"Vanny Diperbarui sejak 12 Juni, 2023"
5,Jarang Ada 2br Mediterania Marina Medit Ancol Furnish View Laut,"Pademangan, Jakarta Utara",2,77 m²,Rp 700 Juta,Cicilan : 5 Jutaan per bulan,apartemen,"HeryantoKwok GreenBayPluitDiperbarui sejak 12 Juni, 2023"
6,"Bellagio Residence, One Stop Shopping Apt Mewah di Mega Kuningan","Mega Kuningan, Jakarta Selatan",3,199 m²,Rp 6 Miliar,Cicilan : 42 Jutaan per bulan,apartemen,"Maximilian Felix Kurniawan Diperbarui sejak 12 Juni, 2023"
7,Jual Apartemen Central Park Residences 2+1 Furnished Bagus,"Central Park, Jakarta Barat",2,83 m²,"Rp 2,8 Miliar",Cicilan : 20 Jutaan per bulan,apartemen,"Vanny Diperbarui sejak 12 Juni, 2023"
8,"Apt Bellagio Residence, Mewah Bergengsi di Mega Kuningan","Mega Kuningan, Jakarta Selatan",4,207 m²,Rp 6 Miliar,Cicilan : 42 Jutaan per bulan,apartemen,"Maximilian Felix Kurniawan Diperbarui sejak 12 Juni, 2023"
9,Lux Apartment 3 BR With Private Lift Harga Nego di Permata Hijau,"Permata Hijau, Jakarta Selatan",3,278 m²,Rp 7 Miliar,Cicilan : 50 Jutaan per bulan,apartemen,"Prihantoro .Diperbarui sejak 12 Juni, 2023"
